image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,3,0.764479,car,car,True
drive_022,2,4,0.789781,car,car,True
drive_022,3,5,0.884505,truck,bus,False
drive_022,4,2,0.918805,bus,van,False
drive_022,5,1,0.868679,car,car,True
drive_033,2,9,0.862177,car,car,True
drive_033,6,3,0.881083,car,car,True
drive_033,7,4,0.752341,car,car,True
drive_033,8,7,0.918674,car,car,True
drive_033,9,6,0.861043,car,car,True
drive_033,12,10,0.825171,car,car,True
drive_033,13,8,0.897537,car,car,True
drive_033,14,5,0.909027,car,car,True
drive_033,20,1,0.976266,bus,van,False
drive_033,22,12,0.921721,bus,van,False
drive_033,30,11,0.889559,car,car,True
drive_038,2,2,0.936562,car,car,True
drive_038,3,3,0.958389,car,car,True
drive_038,4,4,0.943929,truck,car,False
drive_038,5,5,0.902826,truck,bus,False
drive_038,6,17,0.987544,car,car,True
drive_038,7,16,0.784798,car,car,True
drive_038,8,8,0.866221,car,car,True
drive_038,9,14,0.886993,car,car,True
drive_038,10,9,0.911546,truck,bus,False
drive_038,11,15,0.935017,van,truck,False
drive_038,12,7,0.895486,car,car,True
drive_038,13,11,0.794256,car,car,True
drive_038,14,6,0.841954,car,car,True
drive_038,15,12,0.758165,car,car,True
drive_038,53,10,0.877986,car,car,True
drive_038,54,13,0.90826,car,car,True
drive_008,3,16,0.950441,car,car,True
drive_008,19,9,0.965389,bus,van,False
drive_008,21,7,0.791553,car,car,True
drive_008,22,1,0.816535,truck,bus,False
drive_008,23,13,0.754168,car,car,True
drive_008,24,4,0.905847,car,car,True
drive_008,25,12,0.868542,van,truck,False
drive_008,26,6,0.875526,car,car,True
drive_008,28,2,0.909321,car,car,True
drive_008,29,3,0.930937,van,truck,False
drive_008,30,5,0.796005,van,truck,False
drive_008,31,14,0.835511,car,car,True
drive_008,32,15,0.331535,car,car,True
